left_cnt,right_cnt,original_sum,naive_cnt,new_cnt,saving
10,10,62,52,18,0.34615384615384615
10,10,56,46,29,0.6304347826086957
10,10,53,43,24,0.5581395348837209
10,10,39,29,24,0.8275862068965517
10,10,52,42,35,0.8333333333333334
10,10,43,33,32,0.9696969696969697
10,10,47,37,26,0.7027027027027027
10,10,58,48,31,0.6458333333333334
10,10,57,47,26,0.5531914893617021
10,10,57,47,32,0.6808510638297872
10,10,46,36,26,0.7222222222222222
10,10,61,51,23,0.45098039215686275
10,10,45,35,21,0.6
10,10,61,51,27,0.5294117647058824
10,10,53,43,38,0.8837209302325582
10,10,51,41,27,0.6585365853658537
10,10,61,51,32,0.6274509803921569
10,10,65,55,37,0.6727272727272727
10,10,58,48,23,0.4791666666666667
10,10,48,38,27,0.7105263157894737
10,10,46,36,29,0.8055555555555556
10,10,51,41,27,0.6585365853658537
10,10,49,39,24,0.6153846153846154
10,10,60,50,26,0.52
10,10,46,36,18,0.5
10,10,71,61,26,0.4262295081967213
10,10,45,35,29,0.8285714285714286
10,10,46,36,28,0.7777777777777778
10,10,65,55,24,0.43636363636363634
10,10,54,44,39,0.8863636363636364
10,10,54,44,34,0.7727272727272727
10,10,55,45,31,0.6888888888888889
10,10,69,59,31,0.5254237288135594
10,10,55,45,25,0.5555555555555556
10,10,57,47,29,0.6170212765957447
10,10,37,27,25,0.9259259259259259
10,10,48,38,36,0.9473684210526315
10,10,53,43,31,0.7209302325581395
10,10,73,63,29,0.4603174603174603
10,10,63,53,28,0.5283018867924528
10,10,51,41,30,0.7317073170731707
10,10,32,22,19,0.8636363636363636
10,10,66,56,29,0.5178571428571429
10,10,44,34,29,0.8529411764705882
10,10,36,26,26,1.0
10,10,59,49,23,0.46938775510204084
10,10,51,41,30,0.7317073170731707
10,10,48,38,27,0.7105263157894737
10,10,61,51,34,0.6666666666666666
10,10,49,39,31,0.7948717948717948
20,20,212,192,110,0.5729166666666666
20,20,209,189,105,0.5555555555555556
20,20,203,183,109,0.5956284153005464
20,20,220,200,81,0.405
20,20,179,159,109,0.6855345911949685
20,20,251,231,109,0.47186147186147187
20,20,225,205,100,0.4878048780487805
20,20,220,200,98,0.49
20,20,211,191,124,0.6492146596858639
20,20,239,219,97,0.4429223744292237
20,20,211,191,83,0.43455497382198954
20,20,176,156,116,0.7435897435897436
20,20,221,201,98,0.48756218905472637
20,20,200,180,102,0.5666666666666667
20,20,233,213,100,0.4694835680751174
20,20,218,198,101,0.51010101010101
20,20,222,202,107,0.5297029702970297
20,20,139,119,89,0.7478991596638656
20,20,192,172,85,0.4941860465116279
20,20,240,220,116,0.5272727272727272
20,20,187,167,137,0.8203592814371258
20,20,199,179,97,0.5418994413407822
20,20,222,202,114,0.5643564356435643
20,20,243,223,101,0.452914798206278
20,20,167,147,100,0.6802721088435374
20,20,218,198,117,0.5909090909090909
20,20,195,175,96,0.5485714285714286
20,20,173,153,110,0.7189542483660131
20,20,176,156,94,0.6025641025641025
20,20,244,224,97,0.4330357142857143
20,20,205,185,88,0.4756756756756757
20,20,238,218,117,0.536697247706422
20,20,191,171,104,0.6081871345029239
20,20,196,176,111,0.6306818181818182
20,20,191,171,106,0.6198830409356725
20,20,235,215,115,0.5348837209302325
20,20,228,208,85,0.40865384615384615
20,20,199,179,110,0.6145251396648045
20,20,232,212,108,0.5094339622641509
20,20,218,198,126,0.6363636363636364
20,20,191,171,101,0.5906432748538012
20,20,233,213,111,0.5211267605633803
20,20,238,218,104,0.47706422018348627
20,20,207,187,109,0.5828877005347594
20,20,225,205,80,0.3902439024390244
20,20,187,167,74,0.4431137724550898
20,20,162,142,103,0.7253521126760564
20,20,214,194,100,0.5154639175257731
20,20,232,212,120,0.5660377358490566
20,20,206,186,111,0.5967741935483871
30,30,474,444,187,0.42117117117117114
30,30,419,389,226,0.5809768637532133
30,30,423,393,215,0.5470737913486005
30,30,463,433,243,0.5612009237875288
30,30,439,409,270,0.6601466992665037
30,30,503,473,228,0.4820295983086681
30,30,455,425,258,0.6070588235294118
30,30,401,371,240,0.6469002695417789
30,30,438,408,238,0.5833333333333334
30,30,485,455,236,0.5186813186813187
30,30,495,465,244,0.524731182795699
30,30,451,421,234,0.5558194774346793
30,30,384,354,237,0.6694915254237288
30,30,398,368,242,0.657608695652174
30,30,495,465,256,0.5505376344086022
30,30,497,467,245,0.5246252676659529
30,30,387,357,224,0.6274509803921569
30,30,446,416,216,0.5192307692307693
30,30,459,429,207,0.4825174825174825
30,30,440,410,264,0.6439024390243903
30,30,450,420,228,0.5428571428571428
30,30,449,419,215,0.513126491646778
30,30,542,512,259,0.505859375
30,30,469,439,246,0.5603644646924829
30,30,502,472,244,0.5169491525423728
30,30,501,471,211,0.44798301486199577
30,30,483,453,222,0.4900662251655629
30,30,433,403,244,0.6054590570719603
30,30,483,453,221,0.4878587196467991
30,30,479,449,225,0.5011135857461024
30,30,467,437,245,0.5606407322654462
30,30,466,436,242,0.555045871559633
30,30,435,405,238,0.5876543209876544
30,30,508,478,215,0.4497907949790795
30,30,370,340,213,0.6264705882352941
30,30,489,459,220,0.4793028322440087
30,30,381,351,227,0.6467236467236467
30,30,487,457,218,0.47702407002188185
30,30,475,445,225,0.5056179775280899
30,30,408,378,232,0.6137566137566137
30,30,518,488,256,0.5245901639344263
30,30,393,363,199,0.5482093663911846
30,30,438,408,213,0.5220588235294118
30,30,466,436,254,0.5825688073394495
30,30,470,440,207,0.47045454545454546
30,30,383,353,215,0.6090651558073654
30,30,498,468,211,0.45085470085470086
30,30,487,457,236,0.5164113785557987
30,30,496,466,232,0.4978540772532189
30,30,429,399,212,0.531328320802005
100,100,5172,5072,2086,0.4112776025236593
100,100,5514,5414,2347,0.43350572589582564
100,100,5335,5235,2293,0.43801337153772685
100,100,4481,4381,2185,0.4987445788632732
100,100,5315,5215,2275,0.436241610738255
100,100,4536,4436,2296,0.5175834084761046
100,100,5567,5467,2245,0.4106456923358332
100,100,4844,4744,2364,0.49831365935919053
100,100,4788,4688,2348,0.5008532423208191
100,100,4791,4691,2184,0.4655723726284374
100,100,5168,5068,2148,0.4238358326756117
100,100,5046,4946,2373,0.4797816417306915
100,100,4892,4792,2249,0.4693238731218698
100,100,4975,4875,2162,0.4434871794871795
100,100,5558,5458,2269,0.41572004397215095
100,100,5006,4906,2286,0.4659600489196902
100,100,4899,4799,2332,0.48593456970202126
100,100,4901,4801,2223,0.46302853572172464
100,100,5265,5165,2308,0.4468538238141336
100,100,5007,4907,2284,0.4654575096800489
100,100,5169,5069,2240,0.4419017557703689
100,100,5318,5218,2336,0.447681103871215
100,100,5298,5198,2328,0.44786456329357444
100,100,4886,4786,2431,0.5079398244880903
100,100,4740,4640,2395,0.5161637931034483
100,100,4975,4875,2285,0.4687179487179487
100,100,5072,4972,2259,0.45434432823813353
100,100,4574,4474,2297,0.5134108180599016
100,100,5393,5293,2219,0.41923294917815984
100,100,4879,4779,2312,0.48378321824649506
100,100,4838,4738,2211,0.46665259603208104
100,100,4584,4484,2176,0.4852809991079393
100,100,4980,4880,2288,0.46885245901639344
100,100,4659,4559,2276,0.4992322877824084
100,100,4816,4716,2163,0.4586513994910941
100,100,4625,4525,2372,0.5241988950276243
100,100,5070,4970,2245,0.4517102615694165
100,100,5287,5187,2466,0.47541931752458066
100,100,4997,4897,2204,0.45007147232999795
100,100,5239,5139,2268,0.4413309982486865
100,100,5069,4969,2273,0.45743610384383177
100,100,4729,4629,2374,0.5128537481097429
100,100,4974,4874,2452,0.5030775543701272
100,100,5016,4916,2347,0.4774206672091131
100,100,5075,4975,2502,0.5029145728643216
100,100,5062,4962,2399,0.4834744054816606
100,100,4438,4338,2370,0.5463347164591977
100,100,5146,5046,2131,0.4223147047166072
100,100,5105,5005,2353,0.4701298701298701
100,100,4816,4716,2279,0.48324851569126376
